source_row,date,team,opponent,listed_side,goals,goals_against,xg,xg_against,finishing,shots,shots_on_target
26,18/06/2026,Canada,Qatar,1,6,0,4.6,0.22,1.4,32,10
26,18/06/2026,Qatar,Canada,2,0,6,0.22,4.6,-0.22,2,0
27,19/06/2026,South Korea,Mexico,2,0,1,0.91,0.53,-0.91,9,2
28,19/06/2026,USA,Australia,1,2,0,1.08,0.35,0.92,10,2
29,19/06/2026,Scotland,Morocco,1,0,1,0.51,0.99,-0.51,6,0
30,20/06/2026,Haiti,Brazil,2,0,3,0.23,1.75,-0.23,7,3
31,20/06/2026,Paraguay,Turkey,2,1,0,0.32,2.17,0.68,7,2
32,20/06/2026,Netherlands,Sweden,1,5,1,2.61,1.01,2.39,10,7
33,20/06/2026,Germany,Ivory Coast,1,2,1,1.89,1.22,0.11,16,7
34,21/06/2026,Ecuador,Curacao,1,0,0,2.84,0.5,-2.84,27,15
35,21/06/2026,Tunisia,Japan,1,0,4,0.05,2.13,-0.05,2,0
35,21/06/2026,Japan,Tunisia,2,4,0,2.13,0.05,1.87,11,5
36,21/06/2026,Spain,Saudi Arabia,1,4,0,2.3,0.14,1.7,22,8
36,21/06/2026,Saudi Arabia,Spain,2,0,4,0.14,2.3,-0.14,3,1
37,21/06/2026,Belgium,Iran,1,0,0,1.79,0.62,-1.79,23,7
37,21/06/2026,Iran,Belgium,2,0,0,0.62,1.79,-0.62,7,3
38,21/06/2026,Uruguay,Cape Verde,1,2,2,2.32,0.88,-0.32,17,2
38,21/06/2026,Cape Verde,Uruguay,2,2,2,0.88,2.32,1.12,12,4
39,22/06/2026,New Zealand,Egypt,1,1,3,1.24,1.87,-0.24,11,5
39,22/06/2026,Egypt,New Zealand,2,3,1,1.87,1.24,1.13,19,7
40,22/06/2026,Argentina,Austria,1,2,0,2.36,0.53,-0.36,12,5
40,22/06/2026,Austria,Argentina,2,0,2,0.53,2.36,-0.53,6,1
41,22/06/2026,France,Iraq,1,3,0,2.67,0.63,0.33,19,5
41,22/06/2026,Iraq,France,2,0,3,0.63,2.67,-0.63,4,0
42,23/06/2026,Norway,Senegal,1,3,2,2.2,1.72,0.8,13,7
42,23/06/2026,Senegal,Norway,2,2,3,1.72,2.2,0.28,16,4
43,23/06/2026,Algeria,Jordan,2,2,1,1.89,0.63,0.11,17,8
44,23/06/2026,Uzbekistan,Portugal,2,0,5,0.24,2.61,-0.24,7,2
45,23/06/2026,Ghana,England,2,0,0,0.17,1.36,-0.17,2,1
47,24/06/2026,Colombia,D.R. Congo,1,1,0,0.98,0.37,0.02,20,9
47,24/06/2026,D.R. Congo,Colombia,2,0,1,0.37,0.98,-0.37,7,1
50,24/06/2026,Morocco,Haiti,1,4,2,3.76,0.67,0.24,22,11
50,24/06/2026,Haiti,Morocco,2,2,4,0.67,3.76,1.33,9,2
51,24/06/2026,Scotland,Brazil,1,0,3,1.04,4.33,-1.04,14,5
51,24/06/2026,Brazil,Scotland,2,3,0,4.33,1.04,-1.33,21,9
52,25/06/2026,Mexico,Czech Republic,2,3,0,1.74,0.53,1.26,11,5
54,25/06/2026,Curacao,Ivory Coast,1,0,2,0.5,1.31,-0.5,11,2
54,25/06/2026,Ivory Coast,Curacao,2,2,0,1.31,0.5,0.69,7,3
55,25/06/2026,Ecuador,Germany,1,2,1,1.27,0.65,0.73,7,3
55,25/06/2026,Germany,Ecuador,2,1,2,0.65,1.27,0.35,11,3
56,26/06/2026,Japan,Sweden,1,1,1,1.21,0.64,-0.21,8,3
56,26/06/2026,Sweden,Japan,2,1,1,0.64,1.21,0.36,11,5
58,26/06/2026,Paraguay,Australia,1,0,0,0.24,0.55,-0.24,7,2
58,26/06/2026,Australia,Paraguay,2,0,0,0.55,0.24,-0.55,12,5
59,26/06/2026,USA,Turkey,2,2,3,2.13,3.01,-0.13,18,7
60,26/06/2026,Norway,France,1,1,4,1.7,1.5,-0.7,10,4
60,26/06/2026,France,Norway,2,4,1,1.5,1.7,2.5,18,9
61,26/06/2026,Senegal,Iraq,1,5,0,3.01,1.04,1.99,28,12
61,26/06/2026,Iraq,Senegal,2,0,5,1.04,3.01,-1.04,6,1
62,27/06/2026,Saudi Arabia,Cape Verde,2,0,0,0.39,1.39,-0.39,7,3
64,27/06/2026,Iran,Egypt,2,1,1,1.97,0.84,-0.97,13,4
66,27/06/2026,Croatia,Ghana,1,2,1,0.42,0.74,1.58,8,4
66,27/06/2026,Ghana,Croatia,2,1,2,0.74,0.42,0.26,6,1
67,27/06/2026,England,Panama,2,2,0,1.49,0.58,0.51,17,6
68,28/06/2026,Colombia,Portugal,1,0,0,1.7,0.93,-1.7,24,6
69,28/06/2026,D.R. Congo,Uzbekistan,1,3,1,2.18,0.2,0.82,19,4
69,28/06/2026,Uzbekistan,D.R. Congo,2,1,3,0.2,2.18,0.8,3,1
70,28/06/2026,Algeria,Austria,1,3,3,1.67,1.49,1.33,12,5
